[2024-06-25T12:48:01.331+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-06-25T12:48:01.343+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: windturbine.file_sensor_task scheduled__2024-06-25T12:45:00+00:00 [queued]>
[2024-06-25T12:48:01.347+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: windturbine.file_sensor_task scheduled__2024-06-25T12:45:00+00:00 [queued]>
[2024-06-25T12:48:01.347+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2024-06-25T12:48:01.354+0000] {taskinstance.py:2330} INFO - Executing <Task(FileSensor): file_sensor_task> on 2024-06-25 12:45:00+00:00
[2024-06-25T12:48:01.358+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=1153) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-06-25T12:48:01.359+0000] {standard_task_runner.py:63} INFO - Started process 1155 to run task
[2024-06-25T12:48:01.359+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'windturbine', 'file_sensor_task', 'scheduled__2024-06-25T12:45:00+00:00', '--job-id', '493', '--raw', '--subdir', 'DAGS_FOLDER/windturbine.py', '--cfg-path', '/tmp/tmpug73svez']
[2024-06-25T12:48:01.361+0000] {standard_task_runner.py:91} INFO - Job 493: Subtask file_sensor_task
[2024-06-25T12:48:01.389+0000] {task_command.py:426} INFO - Running <TaskInstance: windturbine.file_sensor_task scheduled__2024-06-25T12:45:00+00:00 [running]> on host 8f35bebe2893
